DATASET=TINY,TYPE=WITH_FAULT_TOLERANCE,NODES=42,LINKS=63,REQUESTS=100
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM], MEAN LINK BANDWIDTH
54,196,15.276851851851857,13.088888888888887,48.290224650880376%,6.425925925925926,[22.08, 36.08],170.755
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
APPROVED|,1|,R1P1|,49.91803278688525%|,16.11|,11.899999999999999|,['F1']|,[211, 371, 390, 330, 344, 131]|
APPROVED|,235|,R235P1|,25.956284153005466%|,12.909999999999998|,10.4|,['F1', 'F3']|,[168, 356, 308, 303, 8]|
APPROVED|,236|,R236P2|,55.35519125683061%|,15.440000000000001|,17.1|,['F2']|,[251, 384, 367, 315, 400, 369, 332, 94]|
DENIED|,237|,NONE|,NONE|,0|,0|,['F5', 'F1', 'F2']|,src=223|, dest=177|
DENIED|,238|,NONE|,NONE|,0|,0|,['F5', 'F2']|,src=150|, dest=116|
DENIED|,239|,NONE|,NONE|,0|,0|,['F5']|,src=276|, dest=55|
DENIED|,240|,NONE|,NONE|,0|,0|,['F5', 'F2', 'F1', 'F3']|,src=80|, dest=62|
DENIED|,241|,NONE|,NONE|,0|,0|,['F1', 'F2', 'F3', 'F5']|,src=2|, dest=110|
DENIED|,242|,NONE|,NONE|,0|,0|,['F1', 'F5', 'F2', 'F4', 'F3']|,src=121|, dest=259|
APPROVED|,243|,R243P1|,58.032786885245905%|,15.219999999999999|,12.300000000000002|,['F1', 'F3', 'F2']|,[21, 307, 343, 341, 316, 46]|
DENIED|,244|,NONE|,NONE|,0|,0|,['F2', 'F3', 'F5', 'F4']|,src=201|, dest=196|
DENIED|,245|,NONE|,NONE|,0|,0|,['F5', 'F3', 'F1']|,src=116|, dest=29|
DENIED|,246|,NONE|,NONE|,0|,0|,['F4', 'F2']|,src=169|, dest=173|
DENIED|,247|,NONE|,NONE|,0|,0|,['F2', 'F5', 'F4', 'F3', 'F1']|,src=119|, dest=235|
DENIED|,248|,NONE|,NONE|,0|,0|,['F1', 'F4', 'F5', 'F3', 'F2']|,src=76|, dest=25|
DENIED|,249|,NONE|,NONE|,0|,0|,['F4', 'F3', 'F5']|,src=289|, dest=95|
DENIED|,250|,NONE|,NONE|,0|,0|,['F3', 'F2', 'F5', 'F4', 'F1']|,src=22|, dest=13|
