DATASET=TINY,TYPE=WITHOUT_FAULT_TOLERANCE,NODES=42,LINKS=63,REQUESTS=100
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM], MEAN LINK BANDWIDTH
63,187,16.334920634920625,14.720634920634922,28.415258503484534%,7.2063492063492065,[42.5, 56.5],144.0125
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
APPROVED|,1|,R1P1|,31.990542244640608%|,19.610000000000003|,14.700000000000001|,['F1', 'F4']|,[201, 13, 2, 3, 4, 5, 169]|
DENIED|,226|,NONE|,NONE%|,0|,0|,['F1', 'F3']|,src=246|,dest=216|
DENIED|,227|,NONE|,NONE%|,0|,0|,['F2', 'F4', 'F3']|,src=232|,dest=523|
DENIED|,228|,NONE|,NONE%|,0|,0|,['F3']|,src=275|,dest=313|
DENIED|,229|,NONE|,NONE%|,0|,0|,['F5']|,src=425|,dest=308|
APPROVED|,230|,R230P2|,24.946406052963432%|,16.5|,14.5|,['F4']|,[467, 80, 35, 13, 12, 1, 152]|
DENIED|,231|,NONE|,NONE%|,0|,0|,['F2', 'F4', 'F1', 'F3', 'F5']|,src=597|,dest=543|
APPROVED|,232|,R232P1|,20.747723132969032%|,12.78|,10.200000000000001|,['F4', 'F2', 'F5', 'F3', 'F1']|,[341, 48, 49, 108, 579]|
DENIED|,233|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F5', 'F4']|,src=373|,dest=546|
DENIED|,234|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F4']|,src=361|,dest=187|
DENIED|,235|,NONE|,NONE%|,0|,0|,['F5']|,src=458|,dest=573|
DENIED|,236|,NONE|,NONE%|,0|,0|,['F3', 'F1', 'F4']|,src=422|,dest=343|
DENIED|,237|,NONE|,NONE%|,0|,0|,['F5', 'F3', 'F4']|,src=346|,dest=186|
DENIED|,238|,NONE|,NONE%|,0|,0|,['F2']|,src=357|,dest=402|
DENIED|,239|,NONE|,NONE%|,0|,0|,['F4', 'F5']|,src=159|,dest=579|
DENIED|,240|,NONE|,NONE%|,0|,0|,['F2', 'F4']|,src=368|,dest=582|
DENIED|,241|,NONE|,NONE%|,0|,0|,['F4']|,src=429|,dest=161|
DENIED|,242|,NONE|,NONE%|,0|,0|,['F5', 'F4', 'F3', 'F1']|,src=182|,dest=342|
DENIED|,243|,NONE|,NONE%|,0|,0|,['F2', 'F1', 'F4', 'F5']|,src=537|,dest=392|
DENIED|,244|,NONE|,NONE%|,0|,0|,['F5', 'F1', 'F2', 'F3']|,src=553|,dest=311|
DENIED|,245|,NONE|,NONE%|,0|,0|,['F3', 'F4']|,src=414|,dest=342|
DENIED|,246|,NONE|,NONE%|,0|,0|,['F4', 'F1', 'F3', 'F2', 'F5']|,src=170|,dest=408|
DENIED|,247|,NONE|,NONE%|,0|,0|,['F5']|,src=516|,dest=539|
DENIED|,248|,NONE|,NONE%|,0|,0|,['F4', 'F5']|,src=559|,dest=445|
DENIED|,249|,NONE|,NONE%|,0|,0|,['F5', 'F4', 'F3', 'F2']|,src=574|,dest=517|
APPROVED|,250|,R250P2|,31.997019374068554%|,12.970000000000002|,11.9|,['F3', 'F2']|,[508, 90, 91, 41, 42, 318]|
