DATASET=TINY,TYPE=WITHOUT_FAULT_TOLERANCE,NODES=42,LINKS=63,REQUESTS=100
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM], MEAN LINK BANDWIDTH
67,183,16.843880597014927,15.477611940298507,28.447506355970926%,7.462686567164179,[42.42, 56.42],143.80535714285713
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
APPROVED|,1|,R1P1|,26.426860025220684%|,15.030000000000001|,14.299999999999999|,['F1', 'F4']|,[201, 13, 2, 3, 4, 5, 169]|
APPROVED|,223|,R223P2|,30.010928961748633%|,17.91|,16.599999999999998|,['F1', 'F3', 'F4']|,[440, 73, 32, 33, 34, 78, 79, 465]|
DENIED|,224|,NONE|,NONE%|,0|,0|,['F1', 'F3', 'F2']|,src=306|,dest=563|
DENIED|,225|,NONE|,NONE%|,0|,0|,['F3', 'F1', 'F2', 'F4']|,src=288|,dest=182|
DENIED|,226|,NONE|,NONE%|,0|,0|,['F1', 'F3']|,src=246|,dest=216|
APPROVED|,227|,R227P4|,29.695427092320966%|,26.649999999999995|,21.3|,['F2', 'F4', 'F3']|,[232, 21, 20, 5, 4, 17, 16, 42, 94, 523]|
DENIED|,228|,NONE|,NONE%|,0|,0|,['F3']|,src=275|,dest=313|
DENIED|,229|,NONE|,NONE%|,0|,0|,['F5']|,src=425|,dest=308|
APPROVED|,230|,R230P2|,29.418032786885245%|,16.3|,15.3|,['F4']|,[467, 80, 35, 13, 12, 1, 152]|
DENIED|,231|,NONE|,NONE%|,0|,0|,['F2', 'F4', 'F1', 'F3', 'F5']|,src=597|,dest=543|
DENIED|,232|,NONE|,NONE%|,0|,0|,['F4', 'F2', 'F5', 'F3', 'F1']|,src=341|,dest=579|
DENIED|,233|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F5', 'F4']|,src=373|,dest=546|
DENIED|,234|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F4']|,src=361|,dest=187|
DENIED|,235|,NONE|,NONE%|,0|,0|,['F5']|,src=458|,dest=573|
DENIED|,236|,NONE|,NONE%|,0|,0|,['F3', 'F1', 'F4']|,src=422|,dest=343|
DENIED|,237|,NONE|,NONE%|,0|,0|,['F5', 'F3', 'F4']|,src=346|,dest=186|
DENIED|,238|,NONE|,NONE%|,0|,0|,['F2']|,src=357|,dest=402|
DENIED|,239|,NONE|,NONE%|,0|,0|,['F4', 'F5']|,src=159|,dest=579|
DENIED|,240|,NONE|,NONE%|,0|,0|,['F2', 'F4']|,src=368|,dest=582|
DENIED|,241|,NONE|,NONE%|,0|,0|,['F4']|,src=429|,dest=161|
DENIED|,242|,NONE|,NONE%|,0|,0|,['F5', 'F4', 'F3', 'F1']|,src=182|,dest=342|
DENIED|,243|,NONE|,NONE%|,0|,0|,['F2', 'F1', 'F4', 'F5']|,src=537|,dest=392|
DENIED|,244|,NONE|,NONE%|,0|,0|,['F5', 'F1', 'F2', 'F3']|,src=553|,dest=311|
DENIED|,245|,NONE|,NONE%|,0|,0|,['F3', 'F4']|,src=414|,dest=342|
DENIED|,246|,NONE|,NONE%|,0|,0|,['F4', 'F1', 'F3', 'F2', 'F5']|,src=170|,dest=408|
DENIED|,247|,NONE|,NONE%|,0|,0|,['F5']|,src=516|,dest=539|
DENIED|,248|,NONE|,NONE%|,0|,0|,['F4', 'F5']|,src=559|,dest=445|
DENIED|,249|,NONE|,NONE%|,0|,0|,['F5', 'F4', 'F3', 'F2']|,src=574|,dest=517|
APPROVED|,250|,R250P2|,26.994038748137108%|,14.600000000000001|,12.0|,['F3', 'F2']|,[508, 90, 91, 41, 42, 318]|
