DATASET=TINY,TYPE=WITHOUT_FAULT_TOLERANCE,NODES=42,LINKS=63,REQUESTS=100
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM], MEAN LINK BANDWIDTH
94,156,17.457978723404253,14.965957446808508,20.941016666400532%,7.24468085106383,[42.333333333333336, 56.333333333333336],144.15714285714284
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
APPROVED|,1|,R1P1|,16.953800298062593%|,15.5|,12.900000000000002|,['F4', 'F5', 'F2']|,[476, 82, 36, 13, 12, 197]|
APPROVED|,215|,R215P2|,15.250315258511979%|,17.76|,15.200000000000001|,['F4', 'F3', 'F5']|,[590, 110, 50, 49, 48, 47, 337]|
APPROVED|,216|,R216P2|,24.336065573770494%|,16.97|,14.2|,['F2', 'F3', 'F1']|,[170, 5, 20, 21, 51, 111, 593]|
APPROVED|,217|,R217P5|,22.992767598842818%|,21.250000000000004|,18.8|,['F1', 'F2']|,[354, 51, 21, 22, 23, 24, 58, 59, 386]|
DENIED|,218|,NONE|,NONE%|,0|,0|,['F2', 'F3', 'F1']|,src=184|,dest=461|
APPROVED|,219|,R219P3|,29.103825136612024%|,19.63|,16.799999999999997|,['F2']|,[215, 17, 18, 19, 20, 21, 51, 353]|
APPROVED|,220|,R220P1|,13.527322404371585%|,11.05|,10.200000000000001|,['F2']|,[451, 76, 33, 34, 285]|
APPROVED|,221|,R221P1|,37.27205308352849%|,25.77|,23.2|,['F2']|,[396, 62, 26, 8, 7, 6, 5, 20, 49, 108, 582]|
DENIED|,222|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F5', 'F3']|,src=156|,dest=526|
DENIED|,223|,NONE|,NONE%|,0|,0|,['F2', 'F4', 'F3']|,src=389|,dest=329|
DENIED|,224|,NONE|,NONE%|,0|,0|,['F5', 'F1', 'F3']|,src=228|,dest=492|
DENIED|,225|,NONE|,NONE%|,0|,0|,['F3', 'F5', 'F4']|,src=362|,dest=447|
APPROVED|,226|,R226P1|,21.35063752276867%|,13.620000000000001|,9.999999999999998|,['F5', 'F3', 'F2', 'F4', 'F1']|,[270, 30, 29, 68, 420]|
APPROVED|,227|,R227P3|,18.368306010928965%|,22.36|,16.0|,['F3', 'F1', 'F4', 'F5']|,[498, 87, 39, 40, 41, 42, 43, 322]|
DENIED|,228|,NONE|,NONE%|,0|,0|,['F4', 'F1', 'F3', 'F5']|,src=190|,dest=163|
DENIED|,229|,NONE|,NONE%|,0|,0|,['F1', 'F4', 'F3', 'F2', 'F5']|,src=256|,dest=341|
DENIED|,230|,NONE|,NONE%|,0|,0|,['F1', 'F3', 'F2', 'F5']|,src=423|,dest=579|
APPROVED|,231|,R231P1|,20.80643127364439%|,22.4|,14.2|,['F4', 'F5', 'F3', 'F2']|,[375, 57, 24, 25, 26, 27, 256]|
APPROVED|,232|,R232P1|,9.250819672131149%|,10.659999999999998|,5.3|,['F1', 'F2', 'F3', 'F5', 'F4']|,[165, 4, 163]|
APPROVED|,233|,R233P3|,24.072131147540983%|,23.349999999999998|,16.2|,['F4', 'F2', 'F1']|,[250, 25, 26, 27, 28, 29, 67, 417]|
APPROVED|,234|,R234P3|,24.169974115616913%|,19.77|,21.2|,['F2', 'F4', 'F1', 'F5', 'F3']|,[578, 107, 49, 20, 21, 22, 23, 24, 57, 378]|
DENIED|,235|,NONE|,NONE%|,0|,0|,['F4']|,src=230|,dest=502|
DENIED|,236|,NONE|,NONE%|,0|,0|,['F5', 'F3']|,src=451|,dest=534|
DENIED|,237|,NONE|,NONE%|,0|,0|,['F1', 'F2']|,src=196|,dest=317|
APPROVED|,238|,R238P1|,15.922503725782413%|,13.559999999999999|,12.1|,['F5', 'F2']|,[304, 39, 38, 37, 36, 293]|
APPROVED|,239|,R239P1|,19.807832422586518%|,12.500000000000002|,9.799999999999999|,['F5', 'F2', 'F3']|,[400, 63, 27, 9, 185]|
DENIED|,240|,NONE|,NONE%|,0|,0|,['F3', 'F1', 'F2', 'F5']|,src=398|,dest=157|
DENIED|,241|,NONE|,NONE%|,0|,0|,['F5']|,src=341|,dest=271|
DENIED|,242|,NONE|,NONE%|,0|,0|,['F3', 'F2', 'F5', 'F4']|,src=514|,dest=281|
DENIED|,243|,NONE|,NONE%|,0|,0|,['F4', 'F5']|,src=268|,dest=597|
DENIED|,244|,NONE|,NONE%|,0|,0|,['F2']|,src=510|,dest=422|
DENIED|,245|,NONE|,NONE%|,0|,0|,['F5', 'F2', 'F3', 'F4']|,src=547|,dest=444|
DENIED|,246|,NONE|,NONE%|,0|,0|,['F5', 'F4', 'F2', 'F3', 'F1']|,src=547|,dest=199|
APPROVED|,247|,R247P1|,12.718969555035128%|,10.709999999999999|,7.300000000000001|,['F1', 'F3', 'F4']|,[248, 25, 60, 390]|
APPROVED|,248|,R248P1|,29.234811957569917%|,21.370000000000005|,18.6|,['F3', 'F1']|,[381, 58, 24, 7, 6, 5, 19, 47, 338]|
DENIED|,249|,NONE|,NONE%|,0|,0|,['F4', 'F1', 'F2', 'F3', 'F5']|,src=410|,dest=455|
DENIED|,250|,NONE|,NONE%|,0|,0|,['F5', 'F4', 'F1', 'F3', 'F2']|,src=372|,dest=297|
